Issue,Sub_product,Submitted_via,Company,Date_received,State,Sub_issue,Company_Response,Complaint_id
Improper use of your report,Credit reporting,Web,ALLY FINANCIAL INC.,2022-05-19T12:00:00-05:00,AL,Credit inquiries on your report that you don't recognize,In progress,1
Improper use of your report,Credit reporting,Web,"EQUIFAX, INC.",2022-05-16T12:00:00-05:00,AK,Reporting company used your report improperly,In progress,1
Improper use of your report,Credit reporting,Web,"EQUIFAX, INC.",2022-05-17T12:00:00-05:00,AK,Reporting company used your report improperly,In progress,1
Improper use of your report,Credit reporting,Web,"EQUIFAX, INC.",2022-05-18T12:00:00-05:00,AL,Reporting company used your report improperly,In progress,1
Improper use of your report,Credit reporting,Web,"Open Dealer Exchange, LLC",2022-05-19T12:00:00-05:00,AL,Credit inquiries on your report that you don't recognize,In progress,1
Improper use of your report,Credit reporting,Web,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2022-05-17T12:00:00-05:00,AK,Reporting company used your report improperly,In progress,1
Improper use of your report,Credit reporting,Web,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2022-05-18T12:00:00-05:00,AL,Reporting company used your report improperly,In progress,1
Incorrect information on your report,Credit reporting,Web,"EQUIFAX, INC.",2022-05-18T12:00:00-05:00,AK,Information belongs to someone else,In progress,1
Incorrect information on your report,Credit reporting,Web,"EQUIFAX, INC.",2022-05-18T12:00:00-05:00,AL,Information belongs to someone else,In progress,1
Incorrect information on your report,Credit reporting,Web,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2022-05-18T12:00:00-05:00,AK,Information belongs to someone else,In progress,1
miss handling,Credit reporting,Mobile,ALLY FINANCIAL INC.,2022-05-20T12:00:00-05:00,AH,Credit inquiries on your report that you don't recognize,Closed with explanation,1
Improper use of your report,Credit reporting,Web,"EQUIFAX, INC.",2022-05-16T12:00:00-05:00,AK,Reporting company used your report improperly,Closed with explanation,1
Incorrect information on your report,Credit reporting,Mobile,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2022-05-19T12:00:00-05:00,AL,Information belongs to someone else,Closed with explanation,1
Incorrect information on your report,Credit reporting,Mobile,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2022-05-20T12:00:00-05:00,AL,Information belongs to someone else,Closed with explanation,1
